Tipo de Sort,Tamanho do Array,Tempo do Sort (ms),Trocas,Iterações
QuickSort,1000,0ms,13153,34540
QuickSort,1000,0ms,11966,32774
QuickSort,1000,0ms,11149,31268
QuickSort,1000,0ms,11586,31142
QuickSort,1000,0ms,11708,31971
QuickSort,1000,0ms,13022,33946
QuickSort,1000,0ms,11847,32174
QuickSort,1000,0ms,12098,32267
QuickSort,1000,0ms,11979,32060
QuickSort,1000,0ms,10655,30826
QuickSort,10000,0ms,153423,438618
QuickSort,10000,0ms,152252,447266
QuickSort,10000,0ms,154413,438439
QuickSort,10000,0ms,158551,443809
QuickSort,10000,0ms,160678,448701
QuickSort,10000,1ms,162902,453016
QuickSort,10000,0ms,153110,427223
QuickSort,10000,0ms,157289,434121
QuickSort,10000,1ms,158375,440211
QuickSort,10000,0ms,159658,444954
QuickSort,100000,2ms,1943093,5638580
QuickSort,100000,2ms,1948043,5500502
QuickSort,100000,2ms,1944415,5596758
QuickSort,100000,4ms,2081101,5816325
QuickSort,100000,2ms,1969254,5583107
QuickSort,100000,3ms,1879250,5458761
QuickSort,100000,1ms,1990315,5689252
QuickSort,100000,3ms,1868252,5422762
QuickSort,100000,2ms,1934143,5490820
QuickSort,100000,2ms,1943317,5490146
QuickSort,500000,13ms,11044392,31734874
QuickSort,500000,13ms,11741054,33623711
QuickSort,500000,12ms,11617045,33196767
QuickSort,500000,13ms,11245900,31905936
QuickSort,500000,13ms,11505338,33007599
QuickSort,500000,13ms,11178299,31909664
QuickSort,500000,13ms,11003466,31870043
QuickSort,500000,14ms,11121157,31908036
QuickSort,500000,14ms,10981459,31611657
QuickSort,500000,15ms,11294932,32172186
QuickSort,1000000,28ms,23816332,67904405
QuickSort,1000000,28ms,23786081,67899203
QuickSort,1000000,29ms,24247674,68322600
QuickSort,1000000,29ms,23883061,69437981
QuickSort,1000000,28ms,23578346,67192288
QuickSort,1000000,29ms,23669280,67759056
QuickSort,1000000,29ms,23838354,67374774
QuickSort,1000000,31ms,24295390,68903319
QuickSort,1000000,28ms,23366847,66747606
QuickSort,1000000,28ms,25060611,69337071
BogoSort,11,8421ms,862292200,1153770685
BogoSort,11,4380ms,443279089,593120337
BogoSort,11,547ms,53674192,71815639
BogoSort,11,574ms,56007358,74938111
BogoSort,11,1866ms,186352848,249759296
BogoSort,11,3784ms,389091758,520610373
BogoSort,11,2944ms,297952072,398669201
BogoSort,11,4878ms,489381662,654802554
BogoSort,11,81ms,7440510,9954671
BogoSort,11,7458ms,743414925,994714280
BogoSort,11,1311ms,131040558,175341542
BogoSort,11,4451ms,445776705,596462960
BogoSort,11,1199ms,118859620,159041328
BogoSort,11,5513ms,555233822,742917798
BogoSort,11,351ms,34095226,45618985
BogoSort,11,5639ms,570591494,763463475
